Light,Moisture,CO2,Datetime
770,263,0,2023-07-13 20:18:02.562538
777,260,0,2023-07-13 20:18:02.641538
776,259,0,2023-07-13 20:18:02.746847
776,262,0,2023-07-13 20:18:02.834471
773,261,0,2023-07-13 20:18:03.074890
774,259,0,2023-07-13 20:18:03.590071
771,259,0,2023-07-13 20:18:03.621415
775,261,0,2023-07-13 20:18:03.652028
766,262,0,2023-07-13 20:18:03.684025
764,263,0,2023-07-13 20:18:03.716025
768,263,0,2023-07-13 20:18:03.748026
766,260,0,2023-07-13 20:18:03.778496
766,260,0,2023-07-13 20:18:03.810495
764,262,0,2023-07-13 20:18:03.843475
764,261,0,2023-07-13 20:18:03.873765
763,259,0,2023-07-13 20:18:03.905430
759,259,0,2023-07-13 20:18:03.952499
765,260,0,2023-07-13 20:18:03.983759
756,262,0,2023-07-13 20:18:04.015759
756,264,0,2023-07-13 20:18:04.047867
758,264,0,2023-07-13 20:18:04.078933
758,263,0,2023-07-13 20:18:04.110289
757,261,0,2023-07-13 20:18:04.141178
756,262,0,2023-07-13 20:18:04.172775
756,261,0,2023-07-13 20:18:04.204571
756,261,0,2023-07-13 20:18:04.236038
753,261,0,2023-07-13 20:18:04.283915
757,261,0,2023-07-13 20:18:04.314504
749,264,0,2023-07-13 20:18:04.347083
750,266,0,2023-07-13 20:18:04.376419
752,263,0,2023-07-13 20:18:04.407841
752,261,0,2023-07-13 20:18:04.438771
752,261,0,2023-07-13 20:18:04.469980
752,260,0,2023-07-13 20:18:04.501290
752,261,0,2023-07-13 20:18:04.533292
752,260,0,2023-07-13 20:18:04.566290
751,260,0,2023-07-13 20:18:04.613291
750,261,0,2023-07-13 20:18:04.645290
751,259,0,2023-07-13 20:18:04.677291
750,260,0,2023-07-13 20:18:04.707291
751,260,0,2023-07-13 20:18:04.738291
746,260,0,2023-07-13 20:18:04.770289
743,263,0,2023-07-13 20:18:04.801356
749,264,0,2023-07-13 20:18:04.833357
749,262,0,2023-07-13 20:18:04.865290
749,260,0,2023-07-13 20:18:04.896130
749,260,0,2023-07-13 20:18:04.943110
749,261,0,2023-07-13 20:18:04.976110
750,262,0,2023-07-13 20:18:05.008111
747,259,0,2023-07-13 20:18:05.040111
753,260,0,2023-07-13 20:18:05.071110
745,262,0,2023-07-13 20:18:05.102165
746,265,0,2023-07-13 20:18:05.134115
749,263,0,2023-07-13 20:18:05.166109
749,260,0,2023-07-13 20:18:05.198110
749,260,0,2023-07-13 20:18:05.230110
750,261,0,2023-07-13 20:18:05.261109
749,262,0,2023-07-13 20:18:05.293384
750,259,0,2023-07-13 20:18:05.340414
747,259,0,2023-07-13 20:18:05.370946
753,260,0,2023-07-13 20:18:05.402273
746,260,0,2023-07-13 20:18:05.432823
748,263,0,2023-07-13 20:18:05.463842
750,261,0,2023-07-13 20:18:05.495468
750,263,0,2023-07-13 20:18:05.527556
750,261,0,2023-07-13 20:18:05.556861
750,261,0,2023-07-13 20:18:05.603438
752,261,0,2023-07-13 20:18:05.633503
751,259,0,2023-07-13 20:18:05.665185
750,259,0,2023-07-13 20:18:05.696829
753,264,0,2023-07-13 20:18:05.727549
747,262,0,2023-07-13 20:18:05.759833
748,264,0,2023-07-13 20:18:05.789762
751,263,0,2023-07-13 20:18:05.822091
751,262,0,2023-07-13 20:18:05.850899
752,260,0,2023-07-13 20:18:06.146866
752,260,0,2023-07-13 20:18:06.655728
752,261,0,2023-07-13 20:18:06.665731
752,261,0,2023-07-13 20:18:07.002916
751,259,0,2023-07-13 20:18:07.507404
753,261,0,2023-07-13 20:18:07.539988
748,262,0,2023-07-13 20:18:07.569870
749,264,0,2023-07-13 20:18:07.616986
752,262,0,2023-07-13 20:18:07.625981
752,261,0,2023-07-13 20:18:07.722988
752,260,0,2023-07-13 20:18:08.236365
752,261,0,2023-07-13 20:18:08.268009
752,260,0,2023-07-13 20:18:08.298941
754,259,0,2023-07-13 20:18:08.330851
751,259,0,2023-07-13 20:18:08.362137
755,261,0,2023-07-13 20:18:08.395844
749,262,0,2023-07-13 20:18:08.424846
751,263,0,2023-07-13 20:18:08.455848
753,262,0,2023-07-13 20:18:08.487434
753,259,0,2023-07-13 20:18:08.497987
753,261,0,2023-07-13 20:18:08.586815
753,261,0,2023-07-13 20:18:08.618026
753,261,0,2023-07-13 20:18:08.714773
754,259,0,2023-07-13 20:18:08.770565
754,259,0,2023-07-13 20:18:08.850016
755,259,0,2023-07-13 20:18:08.922830
749,261,0,2023-07-13 20:18:09.011031
751,264,0,2023-07-13 20:18:09.066799
754,261,0,2023-07-13 20:18:09.138890
754,261,0,2023-07-13 20:18:09.649999
754,261,0,2023-07-13 20:18:09.681996
754,260,0,2023-07-13 20:18:09.714120
754,261,0,2023-07-13 20:18:09.744398
754,259,0,2023-07-13 20:18:09.775570
754,259,0,2023-07-13 20:18:09.806997
755,259,0,2023-07-13 20:18:09.838908
750,261,0,2023-07-13 20:18:09.871124
751,264,0,2023-07-13 20:18:09.917203
754,262,0,2023-07-13 20:18:09.949530
754,260,0,2023-07-13 20:18:09.980586
754,262,0,2023-07-13 20:18:10.012261
754,261,0,2023-07-13 20:18:10.043520
756,261,0,2023-07-13 20:18:10.075521
756,259,0,2023-07-13 20:18:10.107518
754,261,0,2023-07-13 20:18:10.139517
757,259,0,2023-07-13 20:18:10.171516
750,262,0,2023-07-13 20:18:10.202548
752,264,0,2023-07-13 20:18:10.233320
751,261,0,2023-07-13 20:18:10.280892
751,262,0,2023-07-13 20:18:10.312638
746,265,0,2023-07-13 20:18:10.344264
755,264,0,2023-07-13 20:18:10.376170
755,260,0,2023-07-13 20:18:10.408126
755,260,0,2023-07-13 20:18:10.438123
755,261,0,2023-07-13 20:18:10.469643
756,261,0,2023-07-13 20:18:10.500186
757,262,0,2023-07-13 20:18:10.532406
755,260,0,2023-07-13 20:18:10.564437
752,260,0,2023-07-13 20:18:10.611047
752,264,0,2023-07-13 20:18:10.635062
746,263,0,2023-07-13 20:18:10.738837
755,264,0,2023-07-13 20:18:10.810873
755,260,0,2023-07-13 20:18:10.890847
755,260,0,2023-07-13 20:18:10.946322
755,260,0,2023-07-13 20:18:11.026831
756,261,0,2023-07-13 20:18:11.538150
757,259,0,2023-07-13 20:18:11.570892
755,261,0,2023-07-13 20:18:11.601718
755,261,0,2023-07-13 20:18:11.632771
752,262,0,2023-07-13 20:18:11.664355
747,263,0,2023-07-13 20:18:11.696356
755,264,0,2023-07-13 20:18:11.729357
755,260,0,2023-07-13 20:18:11.761356
756,261,0,2023-07-13 20:18:11.807338
755,261,0,2023-07-13 20:18:11.837600
756,261,0,2023-07-13 20:18:11.868893
757,262,0,2023-07-13 20:18:11.900267
754,261,0,2023-07-13 20:18:11.930792
759,262,0,2023-07-13 20:18:11.962311
751,260,0,2023-07-13 20:18:11.993616
751,263,0,2023-07-13 20:18:12.025596
755,264,0,2023-07-13 20:18:12.058873
755,262,0,2023-07-13 20:18:12.087877
755,261,0,2023-07-13 20:18:12.135279
755,262,0,2023-07-13 20:18:12.166376
756,262,0,2023-07-13 20:18:12.197258
757,261,0,2023-07-13 20:18:12.229245
754,259,0,2023-07-13 20:18:12.261245
754,260,0,2023-07-13 20:18:12.292247
751,260,0,2023-07-13 20:18:12.298243
752,263,0,2023-07-13 20:18:12.387211
755,263,0,2023-07-13 20:18:12.474419
755,261,0,2023-07-13 20:18:12.538855
755,261,0,2023-07-13 20:18:12.610586
755,259,0,2023-07-13 20:18:12.682896
756,259,0,2023-07-13 20:18:12.762838
757,259,0,2023-07-13 20:18:12.834910
754,259,0,2023-07-13 20:18:12.930716
759,260,0,2023-07-13 20:18:13.002327
751,260,0,2023-07-13 20:18:13.058742
751,264,0,2023-07-13 20:18:13.130317
755,264,0,2023-07-13 20:18:13.218317
