M1,M2,M3,Datetime
641,645,674,41
644,650,680,41
643,651,680,41
639,645,676,41
640,647,676,41
639,645,675,41
639,645,676,41
639,645,675,41
639,645,675,41
638,645,674,41
639,645,675,41
644,651,680,41
638,646,675,41
640,645,677,41
640,645,675,41
642,648,678,41
643,651,680,42
641,646,675,42
641,647,678,42
639,647,677,42
639,645,674,42
640,647,676,42
638,645,675,42
639,646,679,42
641,647,678,42
640,647,677,42
640,647,678,42
639,646,676,42
639,645,677,42
639,645,675,42
641,645,674,42
640,647,679,42
640,645,675,42
638,645,675,42
638,646,677,42
639,644,675,42
642,650,679,43
638,645,675,43
638,645,677,43
641,648,678,43
641,649,679,43
639,648,679,43
641,649,678,43
640,648,677,43
640,646,677,43
640,647,678,43
643,649,678,43
640,649,677,43
639,647,678,43
639,646,678,43
640,648,679,43
639,647,677,43
640,647,676,43
642,649,680,43
641,648,679,43
642,650,681,43
643,651,681,44
643,650,680,44
641,648,681,44
640,649,679,44
640,648,679,44
641,649,680,44
641,648,678,44
641,650,680,44
639,647,677,44
639,648,678,44
642,650,680,44
641,649,679,44
639,647,678,44
639,646,677,44
639,646,676,44
638,647,678,44
638,647,676,44
638,648,678,44
639,647,677,44
640,647,677,44
642,650,680,45
638,647,677,45
637,647,676,45
639,648,678,45
639,646,677,45
639,646,676,45
640,647,678,45
638,647,676,45
639,649,679,45
639,648,678,45
639,647,677,45
638,647,676,45
641,650,680,45
638,646,676,45
640,648,677,45
640,649,678,45
640,648,679,45
640,648,678,45
640,648,679,45
640,646,677,45
641,650,680,46
640,649,678,46
639,648,678,46
640,648,678,46
639,648,679,46
637,647,677,46
638,647,677,46
640,648,677,46
638,649,679,46
638,647,678,46
637,647,676,46
637,647,676,46
637,646,677,46
638,646,676,46
640,648,678,46
638,647,679,46
641,651,681,46
642,652,681,46
639,648,678,46
638,647,677,46
639,648,679,47
638,647,677,47
638,647,677,47
638,647,679,47
642,650,681,47
642,651,681,47
639,649,679,47
639,649,680,47
639,649,679,47
639,649,678,47
639,649,679,47
639,649,679,47
638,647,679,47
639,648,678,47
638,648,678,47
639,648,680,47
638,648,677,47
637,647,676,47
637,646,677,47
637,646,678,47
641,651,681,48
636,646,676,48
637,647,676,48
637,647,678,48
641,650,681,48
638,648,678,48
637,647,677,48
638,647,679,48
638,648,677,48
637,647,676,48
637,649,677,48
636,647,679,48
641,648,678,48
638,649,679,48
640,651,680,48
638,647,679,48
637,646,678,48
637,649,682,48
638,648,679,48
636,646,676,48
636,646,676,49
637,649,677,49
636,646,677,49
639,649,678,49
638,648,678,49
639,650,681,49
637,647,679,49
640,649,681,49
636,647,677,49
635,646,676,49
637,649,680,49
636,646,677,49
636,650,678,49
640,650,681,49
637,648,679,49
636,647,676,49
635,647,678,49
636,647,676,49
638,649,679,49
637,648,678,49
635,647,676,50
638,650,680,50
637,648,679,50
635,646,676,50
636,647,677,50
635,647,677,50
640,651,681,50
639,647,678,50
635,647,677,50
634,645,675,50
636,647,677,50
636,645,675,50
637,647,677,50
636,648,679,50
635,647,677,50
634,645,676,50
637,648,679,50
636,648,679,50
636,647,677,50
637,650,679,50
635,646,675,51
634,645,676,51
638,650,680,51
634,646,675,51
635,648,677,51
636,648,680,51
639,649,677,51
635,648,676,51
635,648,677,51
632,645,675,51
633,644,675,51
633,644,675,51
633,645,675,51
635,648,677,51
633,644,676,51
634,645,675,51
633,646,675,51
632,644,676,51
634,647,678,51
635,647,677,51
633,645,675,52
633,648,681,52
635,648,677,52
633,645,676,52
637,646,675,52
633,644,676,52
633,645,675,52
632,645,675,52
633,646,676,52
635,646,678,52
633,645,675,52
633,648,679,52
635,648,677,52
633,646,674,52
633,647,676,52
633,646,675,52
636,649,678,52
632,645,675,52
633,646,675,52
633,646,676,52
637,650,679,53
638,651,682,53
635,648,678,53
636,647,677,53
635,647,679,53
633,650,682,53
633,645,675,53
634,647,676,53
636,650,680,53
633,645,676,53
632,646,675,53
632,646,676,53
633,645,676,53
633,646,676,53
636,649,680,53
632,645,675,53
633,646,677,53
634,648,678,53
635,648,678,53
632,645,675,53
633,645,675,54
632,648,675,54
631,645,674,54
632,644,675,54
633,645,675,54
632,644,675,54
633,645,675,54
633,647,676,54
634,647,679,54
634,647,678,54
635,649,679,54
636,649,679,54
634,647,677,54
635,649,680,54
636,650,680,54
635,648,679,54
635,648,680,54
635,646,677,54
634,648,678,54
633,647,677,54
634,648,679,55
635,648,678,55
636,649,679,55
635,649,680,55
635,649,679,55
635,648,678,55
636,649,679,55
635,648,680,55
635,649,678,55
634,647,679,55
634,648,679,55
635,649,680,55
633,647,677,55
632,646,676,55
634,647,678,55
632,646,678,55
633,646,676,55
634,647,679,55
634,648,677,55
636,651,681,55
634,648,678,56
632,646,677,56
632,645,676,56
633,646,678,56
632,647,677,56
632,647,677,56
634,647,679,56
631,646,677,56
633,647,678,56
633,647,678,56
634,648,678,56
634,647,678,56
632,647,677,56
633,646,677,56
633,647,677,56
634,648,679,56
634,647,678,56
634,647,679,56
635,648,679,56
634,648,679,56
634,647,677,57
632,646,677,57
632,648,678,57
631,646,677,57
634,649,678,57
634,648,679,57
634,648,680,57
632,646,677,57
634,647,679,57
634,648,679,57
634,648,680,57
635,650,680,57
635,650,680,57
632,646,676,57
632,646,678,57
634,648,679,57
632,646,678,57
634,648,679,57
635,649,680,57
634,648,679,57
632,645,676,58
631,645,676,58
632,646,679,58
631,646,676,58
632,646,678,58
633,648,678,58
633,647,680,58
633,646,678,58
634,650,679,58
631,646,679,58
631,645,678,58
632,647,679,58
633,648,678,58
635,650,681,58
634,648,680,58
631,646,677,58
631,646,678,58
630,645,676,58
631,646,677,58
632,647,679,58
634,649,680,59
634,650,681,59
632,646,678,59
633,648,679,59
631,645,676,59
630,646,677,59
632,648,678,59
632,647,678,59
635,650,681,59
632,646,678,59
634,650,679,59
630,645,677,59
632,646,679,59
630,645,678,59
631,645,677,59
632,647,678,59
633,648,678,59
634,649,680,59
631,646,676,59
630,645,676,59
635,650,682,0
631,646,679,0
632,647,678,0
631,646,677,0
632,646,678,0
631,646,678,0
631,647,676,0
634,650,680,0
634,649,680,0
630,647,679,0
633,647,678,0
630,646,676,0
631,646,677,0
631,646,679,0
630,647,678,0
632,647,678,0
632,646,678,0
630,646,678,0
634,648,680,0
630,646,677,0
633,648,679,1
634,649,680,1
631,648,678,1
629,645,675,1
630,647,678,1
633,649,679,1
631,649,679,1
630,645,676,1
631,647,678,1
633,648,678,1
630,646,677,1
632,648,679,1
633,648,681,1
631,646,677,1
629,646,677,1
630,646,678,1
632,647,679,1
633,648,679,1
631,645,677,1
632,649,680,1
633,649,681,2
629,645,676,2
631,645,676,2
631,647,678,2
630,646,679,2
631,647,678,2
630,647,679,2
632,649,681,2
632,647,679,2
630,647,678,2
634,650,681,2
633,648,679,2
631,647,680,2
632,647,679,2
631,648,679,2
631,647,679,2
628,646,676,2
631,646,678,2
628,644,675,2
629,645,678,2
627,643,676,3
629,644,675,3
630,646,677,3
630,647,678,3
632,647,679,3
631,644,674,3
626,645,677,3
627,644,676,3
629,645,676,3
627,644,675,3
628,645,677,3
629,645,677,3
627,644,675,3
628,645,676,3
627,644,675,3
627,644,675,3
632,648,679,3
627,644,676,3
630,645,677,3
627,644,675,3
627,644,675,4
629,646,677,4
627,645,675,4
627,643,677,4
628,645,678,4
627,644,676,4
627,643,675,4
628,643,675,4
627,643,675,4
629,648,681,4
630,645,675,4
628,644,675,4
627,644,680,4
628,644,675,4
628,644,675,4
626,645,676,4
626,644,675,4
629,648,678,4
628,646,677,4
627,644,675,4
631,648,679,5
626,643,675,5
629,646,678,5
627,644,677,5
627,644,677,5
630,648,680,5
626,644,676,5
626,644,675,5
628,644,675,5
628,647,676,5
627,644,675,5
626,644,675,5
628,646,676,5
626,645,675,5
627,645,677,5
626,645,679,5
629,647,676,5
626,644,675,5
629,646,678,5
627,644,676,5
627,645,676,6
629,650,678,6
626,644,675,6
626,645,676,6
626,644,675,6
626,645,676,6
626,645,678,6
630,649,680,6
629,648,679,6
630,648,679,6
628,647,678,6
628,646,681,6
629,647,678,6
629,647,679,6
627,645,677,6
627,644,675,6
628,646,677,6
627,646,677,6
627,645,678,6
627,646,678,6
629,647,680,7
626,647,680,7
628,646,676,7
627,645,677,7
626,643,675,7
628,647,677,7
627,646,677,7
630,649,680,7
628,645,677,7
625,643,675,7
626,645,677,7
625,643,676,7
626,644,676,7
629,648,681,7
626,644,674,7
627,647,680,7
627,645,676,7
626,646,678,7
626,643,677,7
626,646,676,7
627,645,677,8
630,648,680,8
625,643,675,8
625,644,676,8
625,644,675,8
629,648,680,8
625,645,676,8
625,644,675,8
625,644,679,8
628,649,680,8
630,649,680,8
626,647,677,8
627,645,677,8
626,646,678,8
628,647,679,8
628,647,677,8
627,646,676,8
628,646,679,8
630,649,681,8
628,647,678,8
626,646,677,9
626,646,677,9
626,645,677,9
628,647,679,9
628,648,679,9
625,645,677,9
630,649,681,9
626,646,677,9
627,647,678,9
627,647,678,9
628,647,679,9
628,649,680,9
628,646,678,9
628,647,679,9
629,649,680,9
626,646,676,9
628,647,679,9
627,646,677,9
628,647,679,9
628,648,680,9
626,647,678,10
628,647,678,10
627,648,677,10
626,648,678,10
626,645,680,10
626,648,678,10
625,645,677,10
627,646,679,10
627,648,680,10
627,645,676,10
626,646,677,10
626,647,678,10
625,646,678,10
627,647,678,10
625,645,677,10
625,644,676,10
625,645,677,10
626,645,678,10
629,648,677,10
629,649,680,10
627,648,679,11
629,649,681,11
629,649,681,11
624,644,677,11
625,644,677,11
626,647,677,11
630,649,682,11
629,650,681,11
625,646,677,11
629,649,680,11
629,649,680,11
625,645,680,11
627,648,678,11
627,648,678,11
628,649,679,11
628,650,681,11
628,650,681,11
624,645,676,11
627,646,678,11
625,646,679,11
625,645,677,12
625,645,677,12
626,645,677,12
626,646,679,12
624,647,677,12
625,645,676,12
625,645,677,12
626,648,680,12
630,650,681,12
627,647,679,12
625,646,679,12
625,646,679,12
629,650,681,12
626,646,678,12
625,646,678,12
625,645,677,12
626,648,679,12
628,649,680,12
626,647,677,12
624,645,676,12
629,649,681,13
623,645,677,13
626,647,678,13
626,647,679,13
623,645,678,13
628,649,680,13
625,646,678,13
625,647,678,13
626,648,679,13
626,648,678,13
624,645,676,13
625,646,677,13
624,646,677,13
627,649,680,13
628,648,678,13
625,646,677,13
625,645,677,13
627,649,679,13
629,650,682,13
626,646,678,13
624,646,677,14
625,646,677,14
624,646,678,14
624,645,677,14
628,649,681,14
624,645,676,14
624,645,678,14
623,645,676,14
628,650,681,14
625,647,678,14
626,647,678,14
625,645,676,14
625,646,678,14
625,647,678,14
625,647,681,14
623,645,676,14
624,647,678,14
624,647,677,14
625,647,679,14
627,644,678,14
625,643,679,15
627,644,679,15
622,639,677,15
